motion,inactive,2018/11/28 19:42:55.941,
motion,active,2018/11/28 19:42:45.391,
motion,inactive,2018/11/28 19:42:40.047,
motion,active,2018/11/28 19:42:27.321,
motion,inactive,2018/11/28 19:42:13.791,
motion,active,2018/11/28 19:41:51.461,
motion,inactive,2018/11/28 19:41:49.891,
motion,active,2018/11/28 19:41:37.792,
motion,inactive,2018/11/28 19:41:35.161,
motion,active,2018/11/28 19:41:22.090,
motion,inactive,2018/11/28 19:41:18.881,
motion,active,2018/11/28 19:40:44.508,
motion,inactive,2018/11/28 19:40:41.629,
temperature,69,2018/11/28 19:39:47.882,
motion,active,2018/11/28 19:39:21.952,
motion,inactive,2018/11/28 19:39:18.707,
motion,active,2018/11/28 19:37:21.678,
motion,inactive,2018/11/28 19:37:20.660,
motion,active,2018/11/28 19:35:34.501,
motion,inactive,2018/11/28 19:35:26.240,
motion,active,2018/11/28 19:34:33.001,
motion,inactive,2018/11/28 19:34:17.466,
motion,active,2018/11/28 19:33:39.698,
motion,inactive,2018/11/28 19:33:23.235,
motion,active,2018/11/28 19:33:07.710,
motion,inactive,2018/11/28 19:32:54.058,
temperature,67,2018/11/28 19:32:38.856,
motion,active,2018/11/28 19:32:27.231,
motion,inactive,2018/11/28 19:32:23.808,
motion,active,2018/11/28 19:32:04.828,
motion,inactive,2018/11/28 19:31:57.548,
motion,active,2018/11/28 19:31:39.258,
motion,inactive,2018/11/28 19:31:37.028,
motion,active,2018/11/28 19:30:55.342,
motion,inactive,2018/11/28 19:30:51.533,
motion,active,2018/11/28 19:30:41.923,
motion,inactive,2018/11/28 19:30:40.901,
motion,active,2018/11/28 19:29:23.297,
motion,inactive,2018/11/28 19:29:22.278,
motion,active,2018/11/28 19:27:57.360,
motion,inactive,2018/11/28 19:27:54.330,
motion,active,2018/11/28 19:25:37.340,
motion,inactive,2018/11/28 19:25:28.280,
acceleration,inactive,2018/11/28 19:25:14.330,
motion,active,2018/11/28 19:25:12.250,
acceleration,active,2018/11/28 19:25:09.821,
motion,inactive,2018/11/28 19:24:26.370,
acceleration,inactive,2018/11/28 19:24:21.180,
acceleration,active,2018/11/28 19:24:17.881,
status,open,2018/11/28 19:24:16.969,
motion,active,2018/11/28 19:23:42.957,
motion,inactive,2018/11/28 19:23:34.457,
motion,active,2018/11/28 19:23:20.986,
motion,inactive,2018/11/28 19:23:19.565,
motion,active,2018/11/28 19:23:09.087,
motion,inactive,2018/11/28 19:22:51.907,
motion,active,2018/11/28 19:22:12.167,
motion,inactive,2018/11/28 19:21:55.407,
motion,active,2018/11/28 19:21:40.316,
motion,inactive,2018/11/28 19:21:33.367,
motion,active,2018/11/28 19:20:34.696,
motion,inactive,2018/11/28 19:20:29.026,
motion,active,2018/11/28 19:18:45.120,
motion,inactive,2018/11/28 19:18:42.265,
motion,active,2018/11/28 19:18:11.450,
motion,inactive,2018/11/28 19:18:04.707,
motion,active,2018/11/28 19:17:11.793,
motion,inactive,2018/11/28 19:15:55.947,
motion,active,2018/11/28 19:15:31.665,
motion,inactive,2018/11/28 19:15:09.838,
motion,active,2018/11/28 19:14:56.258,
motion,inactive,2018/11/28 19:14:41.471,
motion,active,2018/11/28 19:14:30.113,
motion,inactive,2018/11/28 19:14:21.015,
motion,active,2018/11/28 19:13:58.798,
motion,inactive,2018/11/28 19:13:42.295,
motion,active,2018/11/28 19:13:05.501,
motion,inactive,2018/11/28 19:12:52.271,
motion,active,2018/11/28 19:11:41.326,
motion,inactive,2018/11/28 19:11:38.818,
motion,active,2018/11/28 19:11:08.646,
motion,inactive,2018/11/28 19:11:03.464,
motion,active,2018/11/28 19:10:34.176,
motion,inactive,2018/11/28 19:10:30.826,
motion,active,2018/11/28 19:10:20.406,
motion,inactive,2018/11/28 19:10:02.046,
motion,active,2018/11/28 19:09:46.356,
temperature,68,2018/11/28 19:09:43.984,
motion,inactive,2018/11/28 19:09:38.536,
motion,active,2018/11/28 19:09:27.996,
motion,inactive,2018/11/28 19:09:22.087,
motion,active,2018/11/28 19:08:59.910,
motion,inactive,2018/11/28 19:08:07.537,
motion,active,2018/11/28 19:07:49.217,
motion,inactive,2018/11/28 19:07:46.746,
motion,active,2018/11/28 19:07:18.097,
motion,inactive,2018/11/28 19:07:12.855,
motion,active,2018/11/28 19:06:54.247,
motion,inactive,2018/11/28 19:06:38.139,
motion,active,2018/11/28 19:06:09.926,
motion,inactive,2018/11/28 19:05:53.297,
motion,active,2018/11/28 19:05:09.007,
motion,inactive,2018/11/28 19:05:03.104,
motion,active,2018/11/28 19:04:07.560,
acceleration,inactive,2018/11/28 19:04:00.946,
status,closed,2018/11/28 19:03:56.758,
acceleration,active,2018/11/28 19:03:54.216,
acceleration,inactive,2018/11/28 19:03:25.388,
status,open,2018/11/28 19:03:20.746,
acceleration,active,2018/11/28 19:03:20.717,
motion,inactive,2018/11/28 19:03:04.969,
acceleration,inactive,2018/11/28 19:02:36.452,
motion,active,2018/11/28 19:02:35.949,
status,closed,2018/11/28 19:02:32.699,
acceleration,active,2018/11/28 19:02:31.448,
motion,inactive,2018/11/28 19:01:45.628,
acceleration,inactive,2018/11/28 19:01:40.458,
status,open,2018/11/28 19:01:36.241,
acceleration,active,2018/11/28 19:01:36.161,
motion,active,2018/11/28 19:01:17.291,
